"gene","Sample","Value","Strain","Replicate","Condition"
"ADK1","JCYL002B",663.645237457926,"JCYL","002","B"
"ADK1","JCYL003B",659.509245522891,"JCYL","003","B"
"ADK1","JCYL001D",737.050163979455,"JCYL","001","D"
"ADK1","JCYL002D",738.215560273109,"JCYL","002","D"
"ADK1","JCYL003D",731.105093564373,"JCYL","003","D"
"ADK2","JCYL001B",31.428933782946,"JCYL","001","B"
"ADK2","JCYL002B",31.8855373010628,"JCYL","002","B"
"ADK2","JCYL003B",32.9175528179274,"JCYL","003","B"
"ADK2","JCYL001D",31.2741572896691,"JCYL","001","D"
"ADK2","JCYL002D",30.5024829502807,"JCYL","002","D"
"ADK2","JCYL003D",31.444710414439,"JCYL","003","D"
"ADO1","JCYL001B",279.244507033718,"JCYL","001","B"
"ADO1","JCYL002B",277.142462853567,"JCYL","002","B"
"ADO1","JCYL003B",282.952944707521,"JCYL","003","B"
"ADO1","JCYL001D",270.936879080553,"JCYL","001","D"
"ADO1","JCYL002D",251.938433406273,"JCYL","002","D"
"ADO1","JCYL003D",272.951956169693,"JCYL","003","D"
"ADP1","JCYL001B",37.1333616995365,"JCYL","001","B"
"ADP1","JCYL002B",35.5332837128145,"JCYL","002","B"
"ADP1","JCYL003B",36.0776206631461,"JCYL","003","B"
"ADP1","JCYL001D",31.7981686567239,"JCYL","001","D"
"ADP1","JCYL002D",31.8325687345914,"JCYL","002","D"
"ADP1","JCYL003D",32.1189609187575,"JCYL","003","D"
"ADR1","JCYL001B",11.2098402381346,"JCYL","001","B"
"ADR1","JCYL002B",11.8088188596079,"JCYL","002","B"
"ADR1","JCYL003B",10.8132128317132,"JCYL","003","B"
"ADR1","JCYL001D",31.217144870276,"JCYL","001","D"
"ADR1","JCYL002D",28.7593285085999,"JCYL","002","D"
"ADR1","JCYL003D",32.1734973074316,"JCYL","003","D"
"ADY2","JCYL001B",10.975537645246,"JCYL","001","B"
"ADY2","JCYL002B",10.120971109607,"JCYL","002","B"
"ADY2","JCYL003B",10.9745343007068,"JCYL","003","B"
"ADY2","JCYL001D",21.9176882573845,"JCYL","001","D"
"ADY2","JCYL002D",21.7109417963402,"JCYL","002","D"
"ADY2","JCYL003D",17.8215445427396,"JCYL","003","D"
"ADY3","JCYL001B",9.74970707516358,"JCYL","001","B"
"ADY3","JCYL002B",8.89519483615523,"JCYL","002","B"
"ADY3","JCYL003B",9.40501509083641,"JCYL","003","B"
"ADY3","JCYL001D",8.70193272637871,"JCYL","001","D"
"ADY3","JCYL002D",8.10978713360637,"JCYL","002","D"
"ADY3","JCYL003D",8.57939150427178,"JCYL","003","D"
"ADY4","JCYL001B",25.2755563986359,"JCYL","001","B"
"ADY4","JCYL002B",26.5194028426626,"JCYL","002","B"
"ADY4","JCYL003B",26.9125561263846,"JCYL","003","B"
"ADY4","JCYL001D",23.428712062701,"JCYL","001","D"
"ADY4","JCYL002D",22.637425268274,"JCYL","002","D"
"ADY4","JCYL003D",22.0175515929743,"JCYL","003","D"
"AEP1","JCYL001B",38.9864573202967,"JCYL","001","B"
"AEP1","JCYL002B",41.2795214736341,"JCYL","002","B"
"AEP1","JCYL003B",38.7491639980837,"JCYL","003","B"
"AEP1","JCYL001D",36.6459279392136,"JCYL","001","D"
"AEP1","JCYL002D",36.9139794869236,"JCYL","002","D"
"AEP1","JCYL003D",37.4956719628017,"JCYL","003","D"
"AEP2","JCYL001B",19.8257550445492,"JCYL","001","B"
"AEP2","JCYL002B",18.9528684462176,"JCYL","002","B"
"AEP2","JCYL003B",20.1915824447846,"JCYL","003","B"
"AEP2","JCYL001D",24.2059090275614,"JCYL","001","D"
"AEP2","JCYL002D",22.5599665565097,"JCYL","002","D"
"AEP2","JCYL003D",25.2630362915669,"JCYL","003","D"
"AEP3","JCYL001B",21.1014474260415,"JCYL","001","B"
"AEP3","JCYL002B",20.5554088697257,"JCYL","002","B"
"AEP3","JCYL003B",20.6398425525012,"JCYL","003","B"
"AEP3","JCYL001D",21.0652081765101,"JCYL","001","D"
"AEP3","JCYL002D",21.4516821334392,"JCYL","002","D"
"AEP3","JCYL003D",21.3050833808723,"JCYL","003","D"
"AFG1","JCYL001B",49.966277364243,"JCYL","001","B"
"AFG1","JCYL002B",50.9938183593062,"JCYL","002","B"
"AFG1","JCYL003B",54.6811903971881,"JCYL","003","B"
"AFG1","JCYL001D",48.2221304241054,"JCYL","001","D"
"AFG1","JCYL002D",45.3375549276516,"JCYL","002","D"
"AFG1","JCYL003D",47.7169537403972,"JCYL","003","D"
"AFG2","JCYL001B",21.4120467958979,"JCYL","001","B"
"AFG2","JCYL002B",21.8851421381617,"JCYL","002","B"
