"gene","JCYL001B","JCYL002B","JCYL003B","JCYL001D","JCYL002D","JCYL003D"
"PAU11","4.293461007231209","5.420156428946559","6.165127899261723","1.6594570688075732","1.9781798515735274","2.2195021909864963"
"PAU12","1.2584282262574236","1.806718809648853","2.2802527846584453","3.717183834128964","3.4815965387694083","5.804851884118529"
"PAU13","12.36220669323469","12.713947179010447","15.201685231056302","22.369481287526085","13.847258961014692","19.804788781110275"
"PAU14","0.0","0.0","0.0","0.0","0.0","0.0"
"PAU15","2.3646606623274784","3.7569044758861185","4.0058129659970145","1.1565751986761261","1.8382829724702476","2.2311118947547333"
"PAU16","0.1444685155380913","0.4570761146274129","0.16482113915392588","0.19431706967004808","0.23163847939393242","0.0"
"PAU17","47.43652601396336","65.87537675821004","69.89734869239689","113.53713200337306","92.14393399507117","154.77305847687467"
"PAU18","0.0","0.0","0.0","0.0","0.0","0.0"
"PAU19","3.511162801637771","4.145549766495027","4.905077101220834","7.260722080577904","6.58718065135172","10.246587961095813"
"PAU2","52.335809174352846","62.76674975743052","64.94497745934609","199.3339831051657","138.393462416084","225.36483785401347"
"PAU20","2.220755693395453","4.148761711045514","5.573951251387311","10.753281805873074","12.26471507975587","16.21943908797824"
"PAU21","0.0","0.0","0.0","0.0","0.0","0.0"
"PAU22","0.0","0.0","0.0","0.0","0.0","0.0"
"PAU23","24.864765146291973","26.62220240671025","30.08447288748778","55.3871011810456","53.00382570622547","59.99211983673839"
"PAU24","10.43755175895863","15.189821103344059","24.407150176529285","59.60769791156803","50.00838664777877","128.9872234838691"
"PAU3","7.5239202892237955","8.291099532990055","11.853936327950349","4.6263007947045045","3.753161068793422","4.792758885028687"
"PAU4","4.589561766350603","8.163692399154076","10.050003013865","2.9206444411013286","2.2155614337623506","4.353638913088897"
"PAU5","56.80079196278127","75.37243525528464","80.42199583302451","96.18536967309925","107.80919363445516","116.05678404663661"
"PAU6","0.0","0.0","0.0","0.0","0.0","0.0"
"PAU7","54.06218235029002","68.8226035453276","63.503230328305435","182.4359688387937","219.8690385599645","248.6391231919131"
"PAU8","7.328493788204995","8.498269956496456","8.867649718116176","8.894689888808593","6.092793942846464","7.341430324032257"
"PAU9","0.0","0.0","4.515332602868016","0.0","0.0","4.564074720105506"
"PBA1","57.96196577381472","58.43453592443108","57.736287853110554","56.04723052472231","60.82922458658024","65.45595147431114"
"PBI2","939.5471889989363","853.1445962708722","969.048538061912","1947.0706743794726","1909.209049327481","2025.0711033044304"
"PBN1","75.0931407192143","73.23990988093546","71.36083392663403","66.66178328367427","69.33971044239793","63.04045399403584"
"PBP1","107.174857442658","105.85163920111243","105.04418227372418","109.34541340641914","109.83401750279675","104.99232438497346"
"PBP2","14.776965601391339","14.941878121236227","16.340383660467953","18.39159434287721","17.483669575124637","18.51275972790316"
"PBP4","137.53402679226292","138.21111085162246","139.05410106619547","172.63992100907828","175.37606651002838","179.87284515906467"
"PBS2","39.14859229427429","40.20551991164658","40.371570685496586","31.959009911931656","31.943257929696006","31.63613652461142"
"PBY1","23.841903531123148","24.150731061544978","23.487230925109706","30.326864045746124","31.148514391782143","28.453307086928856"
"PCA1","12.482459610403762","12.461185793455323","12.931078361887298","10.85642176699436","11.03769091676834","11.20342866899574"
"PCC1","54.842276126547716","51.492660031333855","56.29364801839699","56.997401055615626","49.46768415501534","56.538897917761275"
"PCD1","29.97065022344767","29.276615549901305","29.54793512832198","37.77994906069783","38.437948883671936","33.25948816716489"
"PCF11","36.428185496925416","34.42744367236014","33.525198023695026","28.015128915300902","30.280727791139196","27.37985091472006"
"PCH2","6.361089372210383","6.66371903145806","6.680725863803265","6.783471332574533","8.32463597184743","7.404132394097567"
"PCI8","17.350506391950002","15.574923631143536","15.45466708390272","16.550865436735453","17.685728035703928","15.621497140760878"
"PCK1","14.26613457437239","14.588919810357144","14.548012766120882","363.6056296949099","346.5755274518008","376.453181231975"
"PCL1","235.6983192644597","235.78970979352994","251.49468976571998","174.26077212196097","164.4401565217526","214.36824107836898"
"PCL10","37.78883599289217","33.860944818316504","37.88531612838096","60.016214946663425","60.82164644657825","59.99992625316482"
"PCL2","36.37894884795755","37.20848925732541","37.40319715129964","26.538638930428014","25.345797456187004","27.143456468609067"
"PCL5","710.2160161209853","750.3599972218199","679.6908468702565","278.7024957920943","341.43109013136257","269.4130486439945"
"PCL6","50.65731876666061","47.349797381192275","47.7934323649239","46.24469321705809","45.211136050955716","43.52503410414904"
"PCL7","77.98269031038649","72.30478381520638","73.46181905674558","103.7671270179751","114.39053243245257","102.35319719203112"
"PCL8","19.621930629676662","22.05673703886767","20.645101389519738","27.109267672372578","24.062210561302365","24.36690644579441"
"PCL9","83.75574030002446","77.59632407444265","86.94450189663978","58.06576304828912","62.87706273664457","60.65454467980764"
"PCM1","112.60518183330117","111.75873761461378","113.47019757752497","97.60474440241452","90.01299725189403","99.73807653772155"
"PCP1","37.50602504543082","34.86047455389708","35.95760771247981","35.136110142298264","38.132010506032096","35.690884323446014"
"PCS60","94.9216571852573","92.23479112681555","93.15363566541863","93.62034485811525","97.69750287398844","95.98201446746644"
"PCT1","148.6026945639131","152.69568648188255","149.50867360485856","100.36880523151808","93.44605110057093","91.72348900658348"
"PDA1","410.00301971957856","399.24225988471585","409.3147028794879","351.127713968628","344.1095068345125","344.1520030320736"
"PDB1","485.51104941458726","479.5189254873202","481.3468883333592","376.4647019305692","383.6800022155985","378.9726721020346"
"PDC1","2767.8231084230442","2769.4422392858237","3054.475871298798","3212.993699828945","3303.80979920411","3145.6143027587627"
"PDC2","29.41510027708727","30.03502009632833","29.35453808775967","24.130011119487815","25.35248969862","24.283710277583065"
