"gene","JCYL001B","JCYL002B","JCYL003B","Mean_B","JCYL001D","JCYL002D","JCYL003D","Mean_D"
"RPS17A",470.12876467276,575.341552738559,568.532692750434,538.001003387251,623.05306399634,671.816872780478,773.312698173385,689.394211650068
"RPS17B",401.918185302181,502.123014685838,505.730363194838,469.923854394286,625.979708823702,685.988570437981,793.925353353816,701.964544205166
"RPS18A",513.097744120378,605.899560865815,584.647674464863,567.881659817019,673.046007810268,674.338748783945,786.2943175515,711.226358048571
"RPS18B",529.635990498635,634.029557378459,627.953271709885,597.20627319566,570.561072624817,596.671011569869,686.807372986158,618.013152393615
"RPS19A",409.320806383876,477.503736598127,460.557012064629,449.127185015544,617.833125070575,608.583074976893,670.610635840926,632.342278629465
"RPS19B",398.624971278167,478.489951793664,457.767812888402,444.960911986744,565.11581874124,561.820572500336,616.673394169447,581.203261803674
"RPS1A",1015.92517446941,1121.90964749994,1116.73532701623,1084.85671632852,1230.55535054457,1281.58452591223,1393.15378150484,1301.76455265388
"RPS1B",1076.59517903374,1191.01690335772,1166.71218680406,1144.77475639851,1290.35440459938,1299.53650806526,1399.24640838758,1329.71244035074
"RPS2",1131.081966542,1255.57195478334,1169.16359826894,1185.27250653142,1323.82504358272,1296.93567065088,1360.50027612795,1327.08699678718
"RPS20",2290.58147056492,2492.28083986276,2261.31090337532,2348.05773793434,3037.98492247885,3097.86467107627,3084.03467965756,3073.29475773756
"RPS21A",423.747851003883,490.697840254721,457.653738070391,457.366476442998,720.351283617998,698.71810400393,807.741614343443,742.270333988457
"RPS21B",376.121784781935,411.996216218698,401.501563136878,396.539854712504,520.478807898709,504.321761611744,548.575835540811,524.458801683755
"RPS22A",931.532988189613,1044.17518122565,980.937413292812,985.548527569359,1106.9744069178,1110.41003501672,1237.61423169601,1151.66622454351
"RPS22B",104.60114231186,117.37553618347,108.453438475195,110.143372323508,259.987366292969,256.934670595692,262.404680924826,259.775572604495
"RPS23A",744.547216769528,883.083474475543,936.022515195815,854.551068813629,685.650218920146,775.146194777797,900.238749255946,787.01172098463
