"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"PFY1","Between_Groups",1,2769.04085776468,2769.04085776468,3.1625997116111,0.149968918536235
"PFY1","Within_Groups",4,3502.23374472398,875.558436180994,NA,NA
"PGA1","Between_Groups",1,180.575864190104,180.575864190104,42.7733783240145,0.00282471422724836
"PGA1","Within_Groups",4,16.8867525798141,4.22168814495353,NA,NA
"PGA2","Between_Groups",1,8.06845817800019,8.06845817800019,0.671439104061335,0.458564404974115
"PGA2","Within_Groups",4,48.0666564053031,12.0166641013258,NA,NA
"PGA3","Between_Groups",1,327.29657849254,327.29657849254,34.4512265754486,0.00420774950896015
"PGA3","Within_Groups",4,38.0011524728452,9.5002881182113,NA,NA
"PGC1","Between_Groups",1,230.803450336375,230.803450336375,77.7359625832585,0.000913167764769202
"PGC1","Within_Groups",4,11.8762767021338,2.96906917553346,NA,NA
"PGD1","Between_Groups",1,160.493362819997,160.493362819997,625.944358222353,1.51519458859293e-05
"PGD1","Within_Groups",4,1.02560785610906,0.256401964027264,NA,NA
"PGI1","Between_Groups",1,6350.36136410661,6350.36136410661,11.1183748440999,0.0289859268026644
"PGI1","Within_Groups",4,2284.63654199481,571.159135498703,NA,NA
"PGK1","Between_Groups",1,673273.638543484,673273.638543484,60.2379158916066,0.00148529605834765
"PGK1","Within_Groups",4,44707.6316355292,11176.9079088823,NA,NA
"PGM1","Between_Groups",1,966.081283412091,966.081283412091,1100.3684537217,4.9254776628017e-06
"PGM1","Within_Groups",4,3.51184652793193,0.877961631982982,NA,NA
"PGM2","Between_Groups",1,136487.13624784,136487.13624784,64.9660484505201,0.00128669679749675
"PGM2","Within_Groups",4,8403.59784860811,2100.89946215203,NA,NA
"PGM3","Between_Groups",1,127.191318855073,127.191318855073,28.2098863847981,0.0060409072809959
"PGM3","Within_Groups",4,18.0349990950144,4.5087497737536,NA,NA
"PGS1","Between_Groups",1,0.514498730325617,0.514498730325617,1.34234394338705,0.311079891415525
"PGS1","Within_Groups",4,1.53313532752988,0.383283831882471,NA,NA
"PGU1","Between_Groups",1,2.26417686652556,2.26417686652556,12.3194478761209,0.0246739804143813
"PGU1","Within_Groups",4,0.735155305430296,0.183788826357574,NA,NA
"PHA2","Between_Groups",1,263.87551784932,263.87551784932,324.003111805531,5.59975868342819e-05
"PHA2","Within_Groups",4,3.25769115461706,0.814422788654266,NA,NA
"PHB1","Between_Groups",1,5684.52187040092,5684.52187040092,525.855392842394,2.14255843386223e-05
"PHB1","Within_Groups",4,43.2401907275268,10.8100476818817,NA,NA
"PHB2","Between_Groups",1,3627.2171545972,3627.2171545972,250.278846585672,9.32872635087365e-05
"PHB2","Within_Groups",4,57.9708146186551,14.4927036546638,NA,NA
"PHD1","Between_Groups",1,12935.8110982898,12935.8110982898,179.892665638431,0.00017873054680663
